rating,review_count,price_level,lat,lng,suitability
0.8,0.001685203909673,0.3333333333333333,0.4602034875662184,0.2884341775099983,0.4912707777600462
0.7,0.0074148972025615,0.0,0.99166920795102,0.5903458623276947,0.5613252226747042
0.7749999999999999,0.0045500505561172,0.3333333333333333,0.6492889024424358,0.5692888739426962,0.5056272373194252
0.8500000000000001,0.0124705089315807,0.3333333333333333,0.3772282442960204,0.7684766019090148,0.5343597283230594
0.8,0.0827435119649477,0.3333333333333333,0.6671425799118538,0.3906666321752254,0.5310468475271717
0.8500000000000001,0.0021907650825749,0.3333333333333333,0.8613844916969242,0.5485940450630551,0.5444894896961049
0.7749999999999999,0.0380856083586114,0.3333333333333333,0.6474037315294936,0.5124427658638524,0.512751340710584
0.75,0.0107853050219076,0.3333333333333333,0.3817609714175205,0.7801174431540403,0.4946628455684838
0.825,0.003875968992248,0.3333333333333333,0.1316847328879475,0.7592415345216068,0.5090424374014856
0.825,0.0050556117290192,0.3333333333333333,0.1871309362092006,0.5949763302894553,0.503955380176972
0.7,0.018705763397371,0.0,0.8849491281084738,0.5304860697933691,0.5563834889143034
0.75,0.0008426019548365,0.3333333333333333,0.6627761914003258,0.5873968492121548,0.4960947659504084
0.875,0.0360633636670037,0.3333333333333333,0.607704249951496,0.5088599736141077,0.5499805536117146
0.825,0.0050556117290192,0.3333333333333333,0.8988106789387871,0.5692888739426962,0.5382549944961132
0.8999999999999999,0.0092686215032018,0.0,0.0942585456460847,0.7592415345216068,0.605455590459345
0.875,0.0242669362992922,0.3333333333333333,0.1829724709600668,0.5691077941899039,0.5282174274806196
0.7749999999999999,0.0021907650825749,0.3333333333333333,0.4602034875662184,0.1966008743565908,0.4768307809542463
0.875,0.003875968992248,0.3333333333333333,0.6861467661001939,0.4100162971776626,0.5393042771949007
0.875,0.017020559487698,0.3333333333333333,0.704735105763632,0.5563546058929205,0.5514939867624704
0.8500000000000001,0.0010111223458038,0.3333333333333333,0.704735105763632,0.5615283131126034,0.5369498409808864
0.7,0.0013481631277384,0.3333333333333333,0.6908735549333755,0.4183200972656777,0.4691974648816075
0.7749999999999999,0.0200539265251095,0.3333333333333333,0.3673310970031593,0.7851100706209309,0.5069715696720707
